Latitude,Longitude,MAC
43.13944992,-70.93669234,f0:ab:54:bc:30:eb
43.13877166142857,-70.93581026142859,a0:63:91:a0:a5:33
43.13930605,-70.93666198,c4:49:bb:53:12:aa
43.1393055,-70.93666252,f0:ab:54:37:0f:c7
43.13886626,-70.936066345,b4:5d:50:e4:c8:b2
43.13886626,-70.936066345,b4:5d:50:e4:c8:b0
43.138914695,-70.93616093,b4:5d:50:d9:a1:62
43.13887242,-70.93605895,b4:5d:50:d9:a1:70
43.13887242,-70.93605895,b4:5d:50:d9:a1:72
43.13887242,-70.93605895,b4:5d:50:d9:a1:60
43.13887242,-70.93605895,b4:5d:50:d9:a1:71
43.138823985,-70.935964365,b4:5d:50:e4:c8:b1
43.13867221,-70.93566568333334,b4:5d:50:d9:a1:61
43.13856104749999,-70.9354004425,2c:59:e5:f0:73:4a
43.13829356,-70.93479956499999,b4:5d:50:ec:03:d0
43.13829356,-70.93479956499999,b4:5d:50:ec:03:d1
43.138341135999994,-70.93491517599999,ac:e2:d3:a7:fb:e9
43.13829356,-70.93479956499999,b4:5d:50:ec:03:d2
43.13863292,-70.93555981,b4:5d:50:e4:c1:c1
43.13850135,-70.93527101,b4:5d:50:e4:cf:f0
43.13850135,-70.93527101,b4:5d:50:e4:c3:f2
43.13850135,-70.93527101,b4:5d:50:e4:cf:f2
43.13850135,-70.93527101,b4:5d:50:e4:c1:d2
43.13850135,-70.93527101,b4:5d:50:e4:c1:d0
43.13850135,-70.93527101,b4:5d:50:e4:c8:f0
43.13850135,-70.93527101,b4:5d:50:e4:c8:f2
43.13850135,-70.93527101,a8:bd:27:31:56:22
43.13827893,-70.934771785,a8:bd:27:31:56:20
43.13850135,-70.93527101,b4:5d:50:e4:cf:f1
43.13850135,-70.93527101,b4:5d:50:e4:c1:d1
43.13850135,-70.93527101,b4:5d:50:e4:c8:f1
43.13827893,-70.934771785,a8:bd:27:31:56:21
43.138342460000004,-70.93489446999999,b4:5d:50:e3:12:61
43.138404734999995,-70.935078115,b4:5d:50:e4:c3:e1
43.13850135,-70.93527101,b4:5d:50:d9:a9:21
43.13861177,-70.93553688,00:30:44:1e:8a:45
43.13838745,-70.93502088,34:fc:b9:73:76:01
43.13838745,-70.93502088,34:fc:b9:73:76:00
43.13838745,-70.93502088,b4:5d:50:e4:ce:c1
43.13831127,-70.93475856,b4:5d:50:e4:84:d0
43.13831127,-70.93475856,b4:5d:50:e3:12:72
43.13831127,-70.93475856,b4:5d:50:e4:84:d2
43.13823055,-70.93461169,a8:bd:27:34:28:42
43.13818389,-70.93451556,a8:bd:27:34:28:40
43.13831127,-70.93475856,b4:5d:50:e4:84:d1
43.13831127,-70.93475856,b4:5d:50:e3:12:71
43.13831127,-70.93475856,a8:bd:27:34:28:41
43.1381667,-70.934491375,b4:5d:50:e3:0e:92
43.13818357,-70.93451793,b4:5d:50:e3:12:70
43.13818357,-70.93451793,b4:5d:50:e4:c3:f0
43.13812093333333,-70.93439344000001,b4:5d:50:e3:12:b2
43.13812093333333,-70.93439344000001,b4:5d:50:e3:12:b0
43.1381667,-70.934491375,b4:5d:50:e3:0e:90
43.13818357,-70.93451793,b4:5d:50:e3:12:60
43.13818357,-70.93451793,b4:5d:50:e3:0e:82
43.13818357,-70.93451793,b4:5d:50:e4:c3:f1
43.13812093333333,-70.93439344000001,b4:5d:50:e3:12:b1
43.1381667,-70.934491375,b4:5d:50:e3:0e:91
43.13814983,-70.93446482,b4:5d:50:d9:a0:f2
43.13814983,-70.93446482,b4:5d:50:e3:12:62
43.1377388,-70.93382941499999,b4:5d:50:17:c2:02
43.1377388,-70.93382941499999,b4:5d:50:17:c2:00
43.13814983,-70.93446482,b4:5d:50:e3:0e:80
43.13814983,-70.93446482,b4:5d:50:d9:a0:f1
43.13814983,-70.93446482,b4:5d:50:e3:0e:81
43.137742175,-70.933839165,b4:5d:50:17:c2:01
43.13812272,-70.93438983,b4:5d:50:e3:12:a2
43.13801236,-70.934165055,b4:5d:50:e3:2e:f0
43.13805651,-70.93427256,b4:5d:50:e3:12:a0
43.138005355000004,-70.93415594,b4:5d:50:e3:2e:f1
43.13805651,-70.93427256,b4:5d:50:e3:12:a1
43.13805651,-70.93427256,a8:bd:27:31:53:61
43.13801938,-70.93419115,b4:5d:50:e3:12:f2
43.13801938,-70.93419115,b4:5d:50:e3:12:f0
43.137999205,-70.934148705,b4:5d:50:e3:2e:f2
43.13801938,-70.93419115,a8:bd:27:31:53:70
43.13801938,-70.93419115,84:d4:7e:73:96:40
43.13801938,-70.93419115,84:d4:7e:73:96:42
43.137999205,-70.934148705,b4:5d:50:e3:2e:e2
43.13801938,-70.93419115,b4:5d:50:e4:84:60
43.13799156,-70.93412869,b4:5d:50:e3:2e:e0
43.13801938,-70.93419115,b4:5d:50:e4:84:62
43.13801938,-70.93419115,b4:5d:50:e5:1b:e0
43.13801938,-70.93419115,b4:5d:50:e3:12:e0
43.13801938,-70.93419115,b4:5d:50:e3:12:f1
43.13801938,-70.93419115,a8:bd:27:31:53:71
43.13801938,-70.93419115,84:d4:7e:73:96:41
43.13801938,-70.93419115,b4:5d:50:e4:84:61
43.13799156,-70.93412869,b4:5d:50:e3:2e:e1
43.1379948,-70.934133125,b4:5d:50:d9:9d:c1
43.13801938,-70.93419115,b4:5d:50:e5:1b:e1
43.13726091222222,-70.93307788111112,b4:5d:50:14:26:92
43.137208875714286,-70.93310784857144,b4:5d:50:14:26:90
43.137986735,-70.934133755,84:d4:7e:79:4d:20
43.13721094,-70.9330087425,b4:5d:50:14:26:91
43.13796374,-70.93406623,84:d4:7e:79:4d:32
43.13796374,-70.93406623,84:d4:7e:79:4d:30
43.13772763,-70.93367383,b4:5d:50:e3:14:d2
43.13767214666667,-70.93359755333333,b4:5d:50:e3:14:d0
43.13796374,-70.93406623,b4:5d:50:e3:44:12
43.13796374,-70.93406623,b4:5d:50:e3:44:10
43.13796374,-70.93406623,84:d4:7e:79:4d:22
43.13796374,-70.93406623,b4:5d:50:e3:44:02
43.13796374,-70.93406623,90:84:0d:dd:81:09
43.13796374,-70.93406623,84:d4:7e:79:4d:31
43.13796374,-70.93406623,b4:5d:50:e3:44:11
43.13767214666667,-70.93359755333333,b4:5d:50:e3:14:d1
43.13797022,-70.9340751,b4:5d:50:d9:9d:d0
43.13797022,-70.9340751,b4:5d:50:d9:9d:d2
43.13797022,-70.9340751,b4:5d:50:eb:c9:b0
43.13797022,-70.9340751,b4:5d:50:eb:c9:b2
43.13701347333333,-70.93237612333333,b4:5d:50:14:26:82
43.13797022,-70.9340751,b4:5d:50:d9:9d:c2
43.137805935,-70.93381336499999,b4:5d:50:e3:14:c0
43.137640608000005,-70.933572508,b4:5d:50:e3:14:c2
43.13719487,-70.932811235,b4:5d:50:14:26:80
43.13797022,-70.9340751,b4:5d:50:ec:03:c0
43.13797022,-70.9340751,a8:bd:27:34:2b:c0
43.13797022,-70.9340751,b4:5d:50:d9:9d:d1
43.13797022,-70.9340751,b4:5d:50:eb:c9:b1
43.13797022,-70.9340751,84:d4:7e:79:4d:21
43.13797022,-70.9340751,b4:5d:50:ec:03:c2
43.13796821,-70.93405755,b4:5d:50:d9:af:11
43.13796821,-70.93405755,b4:5d:50:e3:44:01
43.1379542,-70.93403932,b4:5d:50:d9:9d:c0
43.137065635,-70.93260091875001,b4:5d:50:14:26:81
43.137820070000004,-70.93381747000001,b4:5d:50:e3:14:c1
43.1379542,-70.93403932,b4:5d:50:eb:c9:a1
43.13786436,-70.93386146,b4:5d:50:e3:44:00
43.13764165,-70.93355163,b4:5d:50:17:c2:12
43.137921774999995,-70.93407377,a8:bd:27:34:2c:62
43.137921774999995,-70.93407377,a8:bd:27:34:2c:61
43.13754932333333,-70.93349570666668,b4:5d:50:17:c2:10
43.13641705250001,-70.930646385,80:ea:96:ee:0f:e2
43.13732777,-70.93319401,40:b0:34:bc:60:80
43.13732777,-70.93319401,40:e3:d6:54:9b:d1
43.13732777,-70.93319401,40:e3:d6:53:e7:a1
43.1372577,-70.93298964,40:e3:d6:53:18:92
43.1372577,-70.93298964,40:e3:d6:53:18:90
43.1372577,-70.93298964,40:e3:d6:53:e7:b2
43.1372577,-70.93298964,40:e3:d6:53:e7:a0
43.1372577,-70.93298964,40:e3:d6:53:18:91
43.1371354,-70.93286522,40:e3:d6:53:e7:a2
43.136924702499996,-70.933530885,c0:3f:0e:b6:07:a6
43.13666102,-70.93188932333334,b4:5d:50:05:e5:62
43.13667981,-70.93183313000002,b4:5d:50:05:e5:70
43.13667981,-70.93183313000002,b4:5d:50:05:e5:72
43.13682395,-70.932335545,7a:e1:03:4f:9e:a1
43.13667981,-70.93183313000002,b4:5d:50:05:e5:71
43.136882175,-70.932557425,40:e3:d6:5f:66:92
43.136882175,-70.932557425,40:e3:d6:5f:66:90
43.136882175,-70.932557425,40:e3:d6:5f:66:91
43.13682801,-70.93272228,b4:5d:50:e3:17:41
43.13662007,-70.93305836,b4:5d:50:d1:78:81
43.13654588,-70.93320331333334,b4:5d:50:d1:78:82
43.136601865,-70.93308867,b4:5d:50:d1:78:80
43.136592695000004,-70.93314123,84:d4:7e:76:1f:61
43.136601865,-70.93308867,84:d4:7e:76:20:a1
43.13670905,-70.93294638,b4:5d:50:e3:16:90
43.13653577,-70.93326676666668,84:d4:7e:76:1f:72
43.13653173666666,-70.93323548666667,b4:5d:50:d1:78:92
43.13670905,-70.93294638,b4:5d:50:e3:16:91
43.13658065,-70.93313693,84:d4:7e:76:1f:71
43.13657753,-70.93323641,b4:5d:50:d1:78:91
43.13670905,-70.93294638,b4:5d:50:e3:16:81
43.136548115,-70.93317752499999,84:d4:7e:76:1f:70
43.136538945,-70.93323008499999,84:d4:7e:76:1f:62
43.136576675,-70.933370375,84:d4:7e:76:1f:60
43.136548115,-70.93317752499999,84:d4:7e:76:20:a2
43.13645225,-70.93332748,ec:1a:59:33:9d:44
43.13644913,-70.93342695999999,b4:5d:50:d1:78:90
43.13649505,-70.93356734,b4:5d:50:e4:f5:60
43.13645225,-70.93332748,08:3e:8e:41:fe:f8
43.13649505,-70.93356734,b4:5d:50:e4:86:01
43.13649505,-70.93356734,b4:5d:50:e4:f5:61
43.13643391,-70.9334326,b4:5d:50:e3:11:d0
43.13643391,-70.9334326,b4:5d:50:e3:11:d2
43.13643391,-70.9334326,84:d4:7e:76:1d:f2
43.13643391,-70.9334326,84:d4:7e:76:20:b2
43.13643391,-70.9334326,84:d4:7e:76:20:b0
43.13643391,-70.9334326,b4:5d:50:e3:3a:50
43.136471639999996,-70.93357289,84:d4:7e:76:1d:e2
43.136471639999996,-70.93357289,84:d4:7e:76:1d:e0
43.13643391,-70.9334326,84:d4:7e:76:20:a0
43.13648588,-70.9336199,b4:5d:50:e4:86:00
43.13648587,-70.933620655,b4:5d:50:e4:86:02
43.13643391,-70.9334326,b4:5d:50:e3:11:d1
43.13643391,-70.9334326,84:d4:7e:76:20:b1
43.13643391,-70.9334326,b4:5d:50:e3:3a:51
43.136471639999996,-70.93357289,84:d4:7e:76:1d:e1
